path,label,split
data/final/raw/milvago_chimango/inaturalist_obs371791510_photo679298610.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335919732_photo610342422.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs332167735_photo602757336.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490437_photo609470321.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs331973036_photo602130119.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490417_photo609464012.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337106942_photo612740959.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341661193_photo622023757.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337106942_photo612741015.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs333349796_photo605175981.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337126565_photo612782547.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs334445527_photo607355933.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs358076933_photo653210570.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs330350743_photo599017650.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341579640_photo621849239.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs342294032_photo623304325.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341602859_photo621907230.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs364369348_photo665167701.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs371801841_photo679335910.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337126565_photo612782644.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs338942383_photo616476327.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs373409728_photo682408244.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs334222141_photo606896083.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs338823901_photo616244263.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341661193_photo622023721.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs358076933_photo653166824.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs373409728_photo682408249.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337128256_photo612786034.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs357566583_photo652182355.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs358076933_photo653208057.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs332037802_photo602487506.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335537538_photo609570686.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs364376125_photo665181360.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs340156837_photo618957718.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490437_photo609470403.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs339109664_photo616812453.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337126760_photo612782940.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337367481_photo613272812.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs363490230_photo663517401.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs330300305_photo598912699.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341579640_photo621849222.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs332342750_photo603111360.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs346474118_photo631573164.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341864942_photo622436957.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs339109664_photo616812474.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337126565_photo612782467.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs351117529_photo640702240.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337367481_photo613272984.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490417_photo609464020.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs344873505_photo628423107.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490437_photo609470347.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337128256_photo612786007.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341661193_photo622023737.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337254141_photo613040450.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs339109664_photo616812478.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs363490230_photo663517455.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs358076933_photo653207955.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs330350743_photo599017679.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs357566583_photo652182301.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs330350743_photo599017731.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341661193_photo622023761.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs334661507_photo607782085.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337367481_photo613272793.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs338453249_photo615507416.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs340894641_photo620447581.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs363490230_photo663517494.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335980616_photo610462332.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs374513104_photo684546083.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs344983454_photo628636446.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs342411041_photo623545020.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs334782108_photo608034593.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs333026948_photo604519710.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341579640_photo621849217.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs363811267_photo664129108.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337126565_photo612782365.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337366462_photo613270816.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs339109664_photo616812489.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337128256_photo612785979.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs334371154_photo607204692.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs366890291_photo669962194.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs344085411_photo626897028.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335537538_photo609570593.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs363490118_photo663517044.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs330350743_photo599017708.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs341602859_photo621907290.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs366890291_photo669962190.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490417_photo609464175.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs339183534_photo616957126.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs375947667_photo687313137.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs358076933_photo653210502.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs346474118_photo631573178.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs339109664_photo616812464.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs340986844_photo620639339.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs346245097_photo631121993.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs375947668_photo687313141.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs340333285_photo619312266.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs345588984_photo629831867.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs338468826_photo615539368.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337126760_photo612782823.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs334114239_photo606677663.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs364371691_photo665173308.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337254141_photo613040487.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs330486787_photo599294793.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs337367481_photo613272926.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs358076933_photo653210534.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs338253193_photo615090162.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335462707_photo609420197.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs338084846_photo614746636.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs363811267_photo664129118.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490437_photo609470424.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490437_photo609470457.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs344873505_photo628423120.jpg,bird,train
data/final/raw/milvago_chimango/inaturalist_obs335490437_photo609470438.jpg,bird,train
